nodeA	nodeB	weight	source	evidence	version
PTEN	RB1	0.734	STRING_Local	combined_score	v12.0
PTEN	NRAS	0.872	STRING_Local	combined_score	v12.0
PTEN	CCND1	0.855	STRING_Local	combined_score	v12.0
PTEN	BRCA2	0.877	STRING_Local	combined_score	v12.0
PTEN	NF1	0.874	STRING_Local	combined_score	v12.0
PTEN	ALK	0.722	STRING_Local	combined_score	v12.0
PTEN	SMAD4	0.912	STRING_Local	combined_score	v12.0
PTEN	TP53	0.999	STRING_Local	combined_score	v12.0
PTEN	SMARCA4	0.705	STRING_Local	combined_score	v12.0
PTEN	PIK3CA	0.995	STRING_Local	combined_score	v12.0
PTEN	BRCA1	0.821	STRING_Local	combined_score	v12.0
PTEN	MET	0.755	STRING_Local	combined_score	v12.0
PTEN	ARID1A	0.743	STRING_Local	combined_score	v12.0
PTEN	IDH1	0.841	STRING_Local	combined_score	v12.0
PTEN	ATM	0.897	STRING_Local	combined_score	v12.0
PTEN	HRAS	0.823	STRING_Local	combined_score	v12.0
PTEN	MYC	0.908	STRING_Local	combined_score	v12.0
PTEN	CDK4	0.865	STRING_Local	combined_score	v12.0
PTEN	CHEK2	0.81	STRING_Local	combined_score	v12.0
BRCA2	MDM2	0.702	STRING_Local	combined_score	v12.0
BRCA2	CDKN2A	0.806	STRING_Local	combined_score	v12.0
BRCA2	KRAS	0.721	STRING_Local	combined_score	v12.0
BRCA2	STK11	0.83	STRING_Local	combined_score	v12.0
BRCA2	ERBB2	0.873	STRING_Local	combined_score	v12.0
BRCA2	RET	0.705	STRING_Local	combined_score	v12.0
BRCA2	BRAF	0.721	STRING_Local	combined_score	v12.0
BRCA2	POLE	0.849	STRING_Local	combined_score	v12.0
BRCA2	PTEN	0.877	STRING_Local	combined_score	v12.0
BRCA2	CCND1	0.861	STRING_Local	combined_score	v12.0
BRCA2	NF1	0.75	STRING_Local	combined_score	v12.0
BRCA2	TP53	0.995	STRING_Local	combined_score	v12.0
BRCA2	PIK3CA	0.812	STRING_Local	combined_score	v12.0
BRCA2	BRCA1	0.999	STRING_Local	combined_score	v12.0
BRCA2	ATM	0.995	STRING_Local	combined_score	v12.0
BRCA2	CDK4	0.943	STRING_Local	combined_score	v12.0
BRCA2	MYC	0.759	STRING_Local	combined_score	v12.0
BRCA2	CHEK2	0.985	STRING_Local	combined_score	v12.0
CHEK2	BRCA1	0.999	STRING_Local	combined_score	v12.0
CHEK2	ATM	0.999	STRING_Local	combined_score	v12.0
CHEK2	BRCA2	0.985	STRING_Local	combined_score	v12.0
CHEK2	TP53	0.999	STRING_Local	combined_score	v12.0
CHEK2	POLE	0.778	STRING_Local	combined_score	v12.0
CHEK2	PTEN	0.81	STRING_Local	combined_score	v12.0
CHEK2	CDKN2A	0.758	STRING_Local	combined_score	v12.0
CHEK2	MDM2	0.983	STRING_Local	combined_score	v12.0
ALK	PTEN	0.722	STRING_Local	combined_score	v12.0
ALK	NRAS	0.986	STRING_Local	combined_score	v12.0
ALK	PTPN11	0.79	STRING_Local	combined_score	v12.0
ALK	KRAS	0.989	STRING_Local	combined_score	v12.0
ALK	STK11	0.718	STRING_Local	combined_score	v12.0
ALK	ERBB2	0.775	STRING_Local	combined_score	v12.0
ALK	HRAS	0.966	STRING_Local	combined_score	v12.0
ALK	MYC	0.896	STRING_Local	combined_score	v12.0
ALK	SMARCA4	0.736	STRING_Local	combined_score	v12.0
ALK	PIK3CA	0.979	STRING_Local	combined_score	v12.0
